"","Gene","MeanDecreaseGini"
"Zfp365","Zfp365",0.275385114885115
"Calm1","Calm1",0.247815628815629
"Vxn","Vxn",0.230000721500722
"Prl","Prl",0.212074325674326
"Pink1","Pink1",0.192080697080697
"Rgs4","Rgs4",0.188723276723277
"Gaa","Gaa",0.176702097902098
"Miat","Miat",0.173657120657121
"Tspan2","Tspan2",0.169076923076923
"Ppp3r1","Ppp3r1",0.166214969344381
"C4b","C4b",0.150221234321234
"Ctsd","Ctsd",0.146202797202797
"Kifap3","Kifap3",0.14530519676402
"Neat1","Neat1",0.136548007548008
"Mef2c","Mef2c",0.134740699823053
"Nptn","Nptn",0.123606393606394
"Rn45s","Rn45s",0.122280086580087
"Tuba1a","Tuba1a",0.120810101010101
"Ttyh1","Ttyh1",0.118098301698302
"Plppr4","Plppr4",0.110516705516705
"Rasl10b","Rasl10b",0.109584598734599
"Hcn2","Hcn2",0.107733999333999
"Arpp19","Arpp19",0.105497002997003
"Cacna2d1","Cacna2d1",0.101779287379287
"Mal","Mal",0.0940256798756799
"Gpm6a","Gpm6a",0.0860819180819181
"Ghitm","Ghitm",0.0849928571428571
"Itfg1","Itfg1",0.0848092352092352
"Atp5b","Atp5b",0.0842864801864802
"Shank1","Shank1",0.0817231934731934
"Gh","Gh",0.0817193473193473
"Gfap","Gfap",0.0797124653124653
"Cspg5","Cspg5",0.0782036408036408
"Car8","Car8",0.076993006993007
"Apoe","Apoe",0.076020202020202
"Dynll1","Dynll1",0.0759400765900766
"Gabra1","Gabra1",0.0743346653346653
"Scamp1","Scamp1",0.0723134708428826
"Acot7","Acot7",0.0721535797535797
"Chd3","Chd3",0.0707885003885004
"Gpm6b","Gpm6b",0.0694731934731935
"Vsnl1","Vsnl1",0.0693787193198958
"Glul","Glul",0.0693707792207792
"Aldoa","Aldoa",0.0693376623376623
"Snap25","Snap25",0.0688559884559884
"Mapk1","Mapk1",0.0674085914085914
"Pkm","Pkm",0.0667762237762238
"Mtpn","Mtpn",0.0663589077589078
"Gabra6","Gabra6",0.0658204462204462
"Trp53inp2","Trp53inp2",0.0644626745803216
"Ctsb","Ctsb",0.064030636030636
"Itm2c","Itm2c",0.0629489177489177
"Srpk2","Srpk2",0.0605190476190476
"Ppp1r9b","Ppp1r9b",0.0600247086247086
"Impa1","Impa1",0.0599982683982684
"Eif4g2","Eif4g2",0.0589291375291375
"Negr1","Negr1",0.0578038118744001
"Kcnab2","Kcnab2",0.0573246753246753
"Ppp1cb","Ppp1cb",0.0570045066045066
"Pfn2","Pfn2",0.0547272727272727
"Kmt2d","Kmt2d",0.0537097846597847
"Cacnb4","Cacnb4",0.0516969696969697
"Hsp90ab1","Hsp90ab1",0.0514835830835831
"Cfl1","Cfl1",0.0510363636363636
"Synj1","Synj1",0.0508913086913087
"Serpini1","Serpini1",0.0507534243534243
"Srrm2","Srrm2",0.0501949050949051
"Ahcyl1","Ahcyl1",0.0493045761256287
"Hnrnpu","Hnrnpu",0.0479541125541125
"Cldn11","Cldn11",0.0478181818181818
"Vamp2","Vamp2",0.0473835497835498
"Serinc1","Serinc1",0.047052947052947
"Clu","Clu",0.045959595959596
"Trf","Trf",0.0457095571095571
"Gprasp1","Gprasp1",0.0449090909090909
"Gria2","Gria2",0.0443996003996004
"Mapk8ip1","Mapk8ip1",0.0442742551566081
"AF357425","AF357425",0.0438242868242868
"Pea15a","Pea15a",0.0438181818181818
"Zranb2","Zranb2",0.0436814296814297
"Rbfox1","Rbfox1",0.0421818181818182
"Ttr","Ttr",0.0394545454545455
"Capza2","Capza2",0.0394545454545455
"Tmbim6","Tmbim6",0.0389627705627706
"Mog","Mog",0.0388494172494172
"Plp1","Plp1",0.038630303030303
"Septin7","Septin7",0.0384662004662005
"Calm2","Calm2",0.0379978354978355
"Septin3","Septin3",0.0378236763236763
"Nckap1","Nckap1",0.0366850649350649
"Gabra2","Gabra2",0.0366480186480186
"Ndfip1","Ndfip1",0.0360060606060606
"Camk4","Camk4",0.0359987345987346
"Ubb","Ubb",0.0358242933537051
"Mapk8ip3","Mapk8ip3",0.0355187165775401
"Selenop","Selenop",0.0340979020979021
"Aldoc","Aldoc",0.0339242424242424
"Sptbn2","Sptbn2",0.0334848484848485
"Spock2","Spock2",0.0334125874125874
"Gnas","Gnas",0.0326337662337662
"Atp6ap2","Atp6ap2",0.0326337662337662
"Dynll2","Dynll2",0.0324652680652681
"Zfp706","Zfp706",0.0306171328671329
"Nrep","Nrep",0.0304604023427553
"Ppp3cb","Ppp3cb",0.0303519813519813
"Pafah1b1","Pafah1b1",0.0285749805749806
"Cnp","Cnp",0.0278778554778555
"Cntn1","Cntn1",0.0266071392659628
"Cplx1","Cplx1",0.0265047619047619
"Snrnp70","Snrnp70",0.0256439393939394
"Cst3","Cst3",0.024965034965035
"Camkv","Camkv",0.0241818181818182
"Cx3cl1","Cx3cl1",0.0237752913752914
"Atp2b1","Atp2b1",0.0227257187257187
"Pkia","Pkia",0.0218181818181818
"Apbb1","Apbb1",0.0216533466533466
"X2900097C17Rik","X2900097C17Rik",0.0213646908646909
"Cnr1","Cnr1",0.0213258741258741
"Aplp1","Aplp1",0.0212727272727273
"Cbln3","Cbln3",0.0212251082251082
"Nell2","Nell2",0.0210185109008638
"Aak1","Aak1",0.0207814185814186
"Abhd12","Abhd12",0.0207393939393939
"Ntrk2","Ntrk2",0.0206555944055944
"Gnl3l","Gnl3l",0.0205145299145299
"Map1b","Map1b",0.0203399267399267
"Rtn3","Rtn3",0.0202571428571429
"Camk2b","Camk2b",0.0200125668449198
"Zwint","Zwint",0.0192969696969697
"Ppp3ca","Ppp3ca",0.0192272727272727
"Dctn1","Dctn1",0.0190909090909091
"Ywhaz","Ywhaz",0.0190909090909091
"Mal2","Mal2",0.0188438228438228
"Rgs7bp","Rgs7bp",0.0188307692307692
"Gnal","Gnal",0.0187132867132867
"Ptprz1","Ptprz1",0.0185944055944056
"Tspan7","Tspan7",0.0184195804195804
"Snord49a","Snord49a",0.0182575757575758
"Cadm2","Cadm2",0.0181818181818182
"Sparc","Sparc",0.0181788737578211
"Rab3c","Rab3c",0.0181728715728716
"Psap","Psap",0.0181258741258741
"Slc17a7","Slc17a7",0.0181258741258741
"Arpp21","Arpp21",0.0181258741258741
"Pde1b","Pde1b",0.0180055944055944
"Cdr1","Cdr1",0.0178974358974359
"Gad1","Gad1",0.0178441558441558
"Etnk1","Etnk1",0.0175584415584416
"Calm3","Calm3",0.0175464052287582
"Pgrmc1","Pgrmc1",0.0174041252864782
"Abr","Abr",0.0173805194805195
"Syt1","Syt1",0.0166877828054299
"Unc80","Unc80",0.016630303030303
"Hspa8","Hspa8",0.0165238095238095
"Ptgds","Ptgds",0.0159365079365079
"Ckb","Ckb",0.0152307692307692
"Prkar1a","Prkar1a",0.0151515151515151
"Rnf11","Rnf11",0.0151515151515151
"Mmd","Mmd",0.0151515151515151
"Add2","Add2",0.0151428571428571
"Tecr","Tecr",0.0150649350649351
"Clstn3","Clstn3",0.014961038961039
"Rab6a","Rab6a",0.0147272727272727
"Eef1a2","Eef1a2",0.0143393939393939
"Atp2a2","Atp2a2",0.0143222222222222
"Ensa","Ensa",0.0141501831501832
"Herc2","Herc2",0.0141176470588235
"Uchl1","Uchl1",0.014035742035742
"Fam107a","Fam107a",0.014025641025641
"Tle5","Tle5",0.0139333333333333
"Ap2b1","Ap2b1",0.0139044289044289
"Apc","Apc",0.0138666666666667
"Atp5c1","Atp5c1",0.0138280542986425
"Slc6a1","Slc6a1",0.0134358974358974
"Phf24","Phf24",0.0133146853146853
"Trip12","Trip12",0.0128444444444444
"Rtn4","Rtn4",0.0122597402597403
"Snord55","Snord55",0.0122181818181818
"Cltc","Cltc",0.0121025641025641
"Atp1b1","Atp1b1",0.0117333333333333
"Sphkap","Sphkap",0.0111515151515152
"Eif4h","Eif4h",0.0110505050505051
"Cox7a2","Cox7a2",0.0107619047619048
"Ncdn","Ncdn",0.0107142857142857
"Ncald","Ncald",0.0105904761904762
"Aatk","Aatk",0.0105714285714286
"Wdr7","Wdr7",0.010569696969697
"Psd3","Psd3",0.0105333333333333
"Zfr","Zfr",0.0105333333333333
"Araf","Araf",0.0105238095238095
"Tmsb4x","Tmsb4x",0.0104888888888889
"Camk2a","Camk2a",0.0104835164835165
"Cox6a1","Cox6a1",0.0104812834224599
"Kalrn","Kalrn",0.0104615384615385
"Dynlrb1","Dynlrb1",0.0104491064491064
"Itpr1","Itpr1",0.0104333333333333
"Fth1","Fth1",0.0104055944055944
"Arhgap32","Arhgap32",0.0104055944055944
"Bsn","Bsn",0.010395008912656
"Atp9a","Atp9a",0.0103896103896104
"Eif1ax","Eif1ax",0.0103712121212121
"X6430548M08Rik","X6430548M08Rik",0.0103692307692308
"Tppp","Tppp",0.0103589743589744
"Atp6v0d1","Atp6v0d1",0.010025641025641
"Kmt2a","Kmt2a",0.01
"Gabarap","Gabarap",0.01
"Ndrg2","Ndrg2",0.00988888888888889
"Tubb4a","Tubb4a",0.00987179487179487
"Mbp","Mbp",0.0096
"Pja2","Pja2",0.0096
"Tomm20","Tomm20",0.0096
"Rapgef4","Rapgef4",0.0096
"Scn2a","Scn2a",0.00956363636363637
"Kif1b","Kif1b",0.00942857142857143
"Oxr1","Oxr1",0.00942857142857143
"Ptprt","Ptprt",0.00936363636363636
"Atp5e","Atp5e",0.00923076923076923
"Wsb2","Wsb2",0.00921212121212121
"Dgkz","Dgkz",0.00909090909090909
"Agap2","Agap2",0.00903743315508022
"Dpp8","Dpp8",0.009
"C1d","C1d",0.00803137254901961
"Ubc","Ubc",0.00786726998491704
"Apod","Apod",0.00759307359307359
"Rplp1","Rplp1",0.00740659340659341
"Azin1","Azin1",0.0074
"Zyg11b","Zyg11b",0.00738095238095238
"Uba1","Uba1",0.00733333333333334
"Rasgrp1","Rasgrp1",0.00732867132867133
"Htt","Htt",0.00732867132867133
"Fam171b","Fam171b",0.00731428571428572
"Prkce","Prkce",0.00726666666666667
"Fam168a","Fam168a",0.00712087912087912
"Syt11","Syt11",0.007
"Mapt","Mapt",0.007
"Ddn","Ddn",0.007
"Kcnq3","Kcnq3",0.007
"Cbx6","Cbx6",0.00693333333333333
"Pi4ka","Pi4ka",0.00685541125541126
"Atp1b2","Atp1b2",0.00683636363636364
"Qdpr","Qdpr",0.00681684981684982
"Arf3","Arf3",0.00676923076923077
"Rps14","Rps14",0.00676923076923077
"Ubr4","Ubr4",0.00676923076923077
"Ywhab","Ywhab",0.00676923076923077
"Mbnl2","Mbnl2",0.00669230769230769
"Atp6v1a","Atp6v1a",0.00666666666666667
"Stxbp1","Stxbp1",0.00666666666666667
"Bmpr2","Bmpr2",0.00666666666666667
"Rtn1","Rtn1",0.00666666666666667
"Cds2","Cds2",0.00654545454545455
"Tmx4","Tmx4",0.00654545454545455
"Arrb1","Arrb1",0.00654545454545455
"Kcnq2","Kcnq2",0.00647365869424693
"Rcan2","Rcan2",0.00642857142857143
"Eloc","Eloc",0.0064
"Kif5c","Kif5c",0.0064
"Pld3","Pld3",0.00638095238095238
"Tmem30a","Tmem30a",0.00635897435897436
"Srgap3","Srgap3",0.00635897435897436
"Atp5mpl","Atp5mpl",0.00622222222222222
"Trim37","Trim37",0.00622222222222222
"Malat1","Malat1",0.00576190476190476
"Ppm1e","Ppm1e",0.00540659340659341
"Nrgn","Nrgn",0.00433333333333333
"Dnm1","Dnm1",0.00433333333333333
"Kif1a","Kif1a",0.00426666666666667
"Zfp106","Zfp106",0.00419047619047619
"Ryr2","Ryr2",0.00419047619047619
"Eno2","Eno2",0.0041025641025641
"Stmn3","Stmn3",0.004
"Wdfy3","Wdfy3",0.00377777777777778
"Ptk2b","Ptk2b",0.00376470588235294
"Egr1","Egr1",0.00375
"Cnksr2","Cnksr2",0.00375
"Ank2","Ank2",0.00373333333333333
"Tprgl","Tprgl",0.00373333333333333
"Selenot","Selenot",0.00373333333333333
"Gnb1","Gnb1",0.00371428571428572
"Tspyl4","Tspyl4",0.00371428571428572
"Ttll7","Ttll7",0.00371428571428572
"Clip3","Clip3",0.00371428571428572
"Rgs8","Rgs8",0.00371428571428572
"Adgrl1","Adgrl1",0.00371428571428572
"Prkcb","Prkcb",0.00369230769230769
"Thy1","Thy1",0.00369230769230769
"Eef2","Eef2",0.00369230769230769
"Hpcal4","Hpcal4",0.00369230769230769
"Ppp1r9a","Ppp1r9a",0.00369230769230769
"Chn1","Chn1",0.00369230769230769
"Mag","Mag",0.00369230769230769
"Aff4","Aff4",0.00369230769230769
"Lynx1","Lynx1",0.00369230769230769
"Mobp","Mobp",0.00366666666666667
"Huwe1","Huwe1",0.00366666666666667
"Dock3","Dock3",0.00366666666666667
"Gria1","Gria1",0.00366666666666667
"Impact","Impact",0.00366666666666667
"Dlgap1","Dlgap1",0.00366666666666667
"Brk1","Brk1",0.00366666666666667
