sample,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR19795628,RNA-Seq,300,13175930700,PRJNA852169,SAMN29264371,5067753727,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX15839598,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262536,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:57:00Z,1,GSM6262536,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795629,RNA-Seq,300,8565187500,PRJNA852169,SAMN29264372,3297802521,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX15839597,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262535,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:20:00Z,1,GSM6262535,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795630,RNA-Seq,300,9735861000,PRJNA852169,SAMN29264373,3727952100,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839596,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262534,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:33:00Z,1,GSM6262534,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795631,RNA-Seq,300,11675899200,PRJNA852169,SAMN29264374,4481603912,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839595,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262533,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:44:00Z,1,GSM6262533,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795632,RNA-Seq,300,5539606500,PRJNA852169,SAMN29264375,2126500615,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839594,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262532,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T11:55:00Z,1,GSM6262532,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795633,RNA-Seq,300,7275963600,PRJNA852169,SAMN29264376,2799973455,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839593,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262531,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:13:00Z,1,GSM6262531,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795634,RNA-Seq,300,5051705400,PRJNA852169,SAMN29264377,1963156959,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839592,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262530,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T11:52:00Z,1,GSM6262530,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795635,RNA-Seq,300,5252981700,PRJNA852169,SAMN29264378,2044854200,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839591,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262529,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T11:54:00Z,1,GSM6262529,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795636,RNA-Seq,300,10318510500,PRJNA852169,SAMN29264379,3955996793,PGC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839590,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262528,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:20:00Z,1,GSM6262528,PGC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795637,RNA-Seq,300,14400436200,PRJNA852169,SAMN29264380,5525497026,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839589,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262527,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:50:00Z,1,GSM6262527,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
