Unnamed: 0,Gene,scores,log2FC,p_value,q_value
0,Aldh2,43.70756,2.5940614,1.90376828209604e-309,5.91177164639283e-305
1,Xist,26.443516,2.626371,2.3449695695360744e-133,3.640917002140186e-129
2,Myl10,22.340818,1.9893396,1.6885960548117957e-93,1.7478657763356896e-89
3,AC149090.1,18.227379,0.6350062,1.032198885764817e-68,8.013217999913715e-65
4,Cux1,15.629843,0.602757,1.8300944953954735e-51,8.118560623645091e-48
5,Ern1,15.2775545,1.0373648,5.197004367725503e-49,2.017282207887251e-45
6,Trpc6,14.387629,1.4929955,6.467627371218804e-44,2.231547030649528e-40
7,Pim1,13.928989,0.79395896,9.056003292854196e-42,2.5565097295727393e-38
8,Mpl,13.08491,0.9120587,1.3743519143606058e-37,2.8451833331093264e-34
9,Thbs1,12.746873,3.7638226,1.635112835977916e-34,2.820842160867901e-31
10,Trp53,12.736066,0.64702326,7.106671063455781e-36,1.3792716033343274e-32
11,Adgrg1,12.569238,0.48351994,5.010715175139732e-35,9.152808137271418e-32
12,Pgr,12.519156,2.5126903,1.0113234932314757e-33,1.5702314217658506e-30
13,Als2cl,12.482733,1.5289237,7.66843670183165e-34,1.253305078431464e-30
14,Hlf,11.81812,0.7324444,3.277637974810619e-31,4.24085383465809e-28
15,Gm19590,11.724254,0.7866761,1.1402336270280522e-30,1.4163069928040844e-27
16,Kit,11.493442,0.45106614,1.0316284629656046e-29,1.2321214869411891e-26
17,Creb5,10.66499,3.4172168,3.43096208195333e-25,3.6738505355481643e-22
18,Slc16a12,10.1735115,1.9266218,2.2883864858122697e-23,2.220664548247763e-20
19,Eef1a1,9.864677,0.20033233,1.8564546888380625e-22,1.640618540886891e-19
20,Ldhb,9.795465,0.70806605,4.421976327201246e-22,3.6135692339100064e-19
21,Prtn3,9.723157,0.6523423,8.340501135755237e-22,6.640963635092498e-19
22,Abcg3,9.59637,1.2904308,3.653333981937169e-21,2.578340457752157e-18
23,Spns2,9.548104,0.48421475,3.9527595837652586e-21,2.727667630103613e-18
24,Plag1,9.429955,1.0833356,1.5133701991204542e-20,1.0216235824627709e-17
25,Eef2,9.37673,0.23443861,1.7270386178191334e-20,1.141058089343352e-17
26,Txnip,9.347506,0.5093229,2.4474205642047814e-20,1.583328141255231e-17
27,Meis1,8.754005,0.34083807,4.225831124727755e-18,2.2241480324774745e-15
28,Nwd1,8.743522,0.5527116,4.944693943275398e-18,2.5591263503421823e-15
29,Fyb2,8.686506,4.164585,1.634198835753543e-17,7.807196376408427e-15
30,Krt18,8.427448,0.7356246,7.659509762765574e-17,3.3978679523308484e-14
31,Itsn1,8.294541,0.7165551,2.1708379543992643e-16,9.494511408163433e-14
32,Rbp1,8.2716875,0.6479971,2.589275901332521e-16,1.1014354049873805e-13
33,Igf1r,8.262577,0.37595403,2.6716678789467283e-16,1.12112571141801e-13
34,Pcp4l1,8.235394,0.7978084,3.6946360841837637e-16,1.4899939522358238e-13
35,Sgms1,8.167932,0.47681108,5.736295383602401e-16,2.2266147568375674e-13
36,Coro2a,8.080281,0.45998883,1.197275154153291e-15,4.426069685943113e-13
37,Arntl,8.068295,0.9666411,1.5087716694673266e-15,5.447893796740569e-13
38,Zfp608,7.9967794,0.4412949,2.282301329865092e-15,8.053670817761442e-13
39,Art4,7.822,0.9392889,9.810965626086386e-15,3.14082387202949e-12
40,Eif4a2,7.8206925,0.2892304,8.638375435789157e-15,2.794244504245424e-12
41,Ddx5,7.7018986,0.17886923,2.122133611492429e-14,6.589861503767442e-12
42,Adam22,7.511944,0.7782537,9.690390242853624e-14,2.6651967261480123e-11
43,Zbtb20,7.5014396,0.41577312,9.698490646788569e-14,2.6651967261480123e-11
44,Plcg2,7.4719872,0.34396386,1.199264248655609e-13,3.2383263229132706e-11
45,Lst1,7.466425,0.60307574,1.3361984097360513e-13,3.576980104959793e-11
46,Ifitm1,7.359682,0.4187121,2.627799832481441e-13,6.634233186833023e-11
47,Vldlr,7.312226,0.8562961,4.2583519567855e-13,1.0250744442950396e-10
48,Eng,7.2078223,0.3792216,8.12220374600672e-13,1.8676437819144888e-10
49,Mmrn1,7.2029624,0.8536074,9.31276721895797e-13,2.0955750757268246e-10
50,Rps3a1,7.1167417,0.18717176,1.5726725465935205e-12,3.3914028187061517e-10
51,Ppp2r2b,7.1052074,3.5812004,2.344780337136796e-12,4.822017470801916e-10
52,Ogt,7.0831585,0.24245505,1.9729790617907708e-12,4.084461253719255e-10
53,Fam107b,7.0353575,0.30366483,2.7660693605522928e-12,5.506073836745535e-10
54,Lmo2,7.0346756,0.24981621,2.6859247505979484e-12,5.381033630988263e-10
55,Obsl1,7.0143538,0.8323435,3.4059341715575625e-12,6.610279614336061e-10
56,Bace2,6.920607,3.3713434,7.769433293484019e-12,1.4275988879441372e-09
57,Clnk,6.875758,0.6961059,8.996093135076172e-12,1.6112271917883836e-09
58,Arrdc3,6.8754215,0.6811957,9.028226946548764e-12,1.6112271917883836e-09
59,Plcb2,6.8702908,0.32527205,8.65207096328734e-12,1.5620509280404755e-09
60,Ptk2b,6.8391705,0.41026658,1.0863564684712114e-11,1.927692995167801e-09
61,Tnfsf13os,6.8086104,1.3734236,1.5097075028889215e-11,2.663690175409641e-09
62,Mllt3,6.7852116,0.5681277,1.595923407419974e-11,2.7841690770006993e-09
63,5031439G07Rik,6.768079,0.6039777,1.8091104693651428e-11,3.1063696940010713e-09
64,Uba7,6.7633314,0.39151132,1.8106234972923516e-11,3.1063696940010713e-09
65,Osbpl1a,6.762121,0.37591824,1.847863953758459e-11,3.1528417228605174e-09
66,Gfi1b,6.711953,0.7631209,2.6794740994761225e-11,4.4734252263995715e-09
67,Ccdc60,6.613136,1.5115172,5.599190173406566e-11,8.82597220582711e-09
68,Tbxas1,6.4930954,0.45320433,1.0871645545834476e-10,1.6388214035669804e-08
69,Tfec,6.42911,0.65601593,1.6898631133914857e-10,2.4752509084974444e-08
70,Zfand5,6.4191036,0.31599817,1.7525417025437632e-10,2.5550083328211963e-08
71,Prdm16,6.4108763,0.6432638,1.8770193775276735e-10,2.711027103737993e-08
72,Rftn1,6.393629,0.48912945,2.1046987514995795e-10,3.0118530106136605e-08
73,Nkx2-3,6.356324,0.578348,2.6432359571269257e-10,3.7156475237974344e-08
74,Glul,6.339917,0.38226834,2.917213292360617e-10,4.062252213797052e-08
75,Ndn,6.3020835,1.0340252,3.8703272890877896e-10,5.202825684330871e-08
76,Sfi1,6.2548943,0.35578647,4.984488949377537e-10,6.61467245064191e-08
77,Bpifc,6.1937327,0.9848257,7.733783188281808e-10,1.0006548722738129e-07
78,Gprc5b,6.179515,0.64100415,8.112709765291315e-10,1.0410081667007902e-07
79,Stard10,6.1516304,0.40793318,9.509937497891455e-10,1.1907745529113846e-07
80,Mecom,6.125813,0.43600085,1.1109174876947392e-09,1.3798928298153894e-07
81,Peli2,6.107546,0.63372064,1.2865579748551995e-09,1.5728931020936424e-07
82,Fam110c,6.090346,1.1228197,1.4648892481289754e-09,1.7362292298530187e-07
83,Fut8,6.0682726,0.33659792,1.586471559688711e-09,1.866087172083847e-07
84,Rps4x,6.067997,0.16117312,1.5601050275564951e-09,1.842051004589804e-07
