Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,AGE,sex
SRR24302729,RNA-Seq,127,7501121904,PRJNA862285,SAMN34370922,2368429869,LK,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20097916,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7229328,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2023-04-25T22:22:00Z,1,GSM7229328,bone marrow,SRP388304,bone marrow,16 weeks,female
SRR24302736,RNA-Seq,127,4559185065,PRJNA862285,SAMN34370923,1438421516,LK,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20097915,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7229326,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2023-04-25T22:08:00Z,1,GSM7229326,bone marrow,SRP388304,bone marrow,88 weeks,male
SRR24302745,RNA-Seq,127,4835764268,PRJNA862285,SAMN34370924,1544757026,LK,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20097914,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7229325,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2023-04-25T22:14:00Z,1,GSM7229325,bone marrow,SRP388304,bone marrow,68 weeks,female
SRR20639501,RNA-Seq,50,52818700,PRJNA862285,SAMN29957331,20893314,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662763,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388184,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:26:00Z,1,GSM6388184,Bone marrow,SRP388304,Bone marrow,,
SRR20639502,RNA-Seq,50,58475050,PRJNA862285,SAMN29957332,23064352,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662762,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388183,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:26:00Z,1,GSM6388183,Bone marrow,SRP388304,Bone marrow,,
SRR20639503,RNA-Seq,50,57501950,PRJNA862285,SAMN29957333,22628252,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662761,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388182,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:26:00Z,1,GSM6388182,Bone marrow,SRP388304,Bone marrow,,
SRR20639504,RNA-Seq,50,59682650,PRJNA862285,SAMN29957358,23375676,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662760,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388157,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:26:00Z,1,GSM6388157,Bone marrow,SRP388304,Bone marrow,,
SRR20639505,RNA-Seq,50,50245000,PRJNA862285,SAMN29957359,19959259,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16662759,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388156,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:26:00Z,1,GSM6388156,Bone marrow,SRP388304,Bone marrow,,
SRR20639510,RNA-Seq,50,48014000,PRJNA862285,SAMN29957364,18803913,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662754,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388151,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:28:00Z,1,GSM6388151,Bone marrow,SRP388304,Bone marrow,,
SRR20639511,RNA-Seq,50,46935650,PRJNA862285,SAMN29957365,18295421,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662753,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388150,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:28:00Z,1,GSM6388150,Bone marrow,SRP388304,Bone marrow,,
SRR20639512,RNA-Seq,50,45076950,PRJNA862285,SAMN29957398,18368656,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662752,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388117,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:27:00Z,1,GSM6388117,Bone marrow,SRP388304,Bone marrow,,
SRR20639513,RNA-Seq,50,48996850,PRJNA862285,SAMN29957399,19791103,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662751,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388116,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:28:00Z,1,GSM6388116,Bone marrow,SRP388304,Bone marrow,,
SRR20639514,RNA-Seq,50,57411850,PRJNA862285,SAMN29957400,23334719,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662750,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388115,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:28:00Z,1,GSM6388115,Bone marrow,SRP388304,Bone marrow,,
SRR20639522,RNA-Seq,50,49275100,PRJNA862285,SAMN29957464,19975166,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662742,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388051,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:28:00Z,1,GSM6388051,Bone marrow,SRP388304,Bone marrow,,
SRR20639523,RNA-Seq,50,48579450,PRJNA862285,SAMN29957465,19786655,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16662741,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388050,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388050,Bone marrow,SRP388304,Bone marrow,,
SRR20639524,RNA-Seq,50,48114150,PRJNA862285,SAMN29957466,19572886,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662740,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388049,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388049,Bone marrow,SRP388304,Bone marrow,,
SRR20639525,RNA-Seq,50,46627250,PRJNA862285,SAMN29957467,18890679,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662739,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388048,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388048,Bone marrow,SRP388304,Bone marrow,,
