"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rpl9",162.262461312624,-0.58811585558085,0.0672906933846156,-8.73992859932854,2.33257801703807e-18,4.10883617701257e-14
"Th",146.67266665731,0.721505795189193,0.0910588400822622,7.92351181431026,2.3089481097019e-15,2.03360604761995e-11
"Trem2",70.0110813412696,0.932103870900802,0.120257924911363,7.75087273115531,9.1263120158253e-15,5.35866620529209e-11
"Ccp110",606.216652733747,-0.493344931237768,0.0645268424662982,-7.64557682324898,2.08010714907363e-14,9.16027185773301e-11
"Cga",133.592934943929,2.08220231369644,0.275923141588794,7.54631272211135,4.47754169883011e-14,1.57743794049785e-10
"Nrn1",724.661166155665,-0.564319565837147,0.0752154664964444,-7.50270645285201,6.2513443606409e-14,1.83529051521149e-10
"Ugt8a",451.048401042282,-0.874766583391158,0.117006292369883,-7.47623538592115,7.64819141755914e-14,1.92461274029006e-10
"Ctsz",185.263891453933,0.658004126098091,0.089487256723308,7.35304835785301,1.93736805583931e-13,4.26584228795118e-10
"Col3a1",33.3464684515616,-1.4347498100641,0.195997924951321,-7.32022959131044,2.47547058759236e-13,4.84504604449327e-10
"Enpp6",81.2267147599888,-0.936330942866372,0.129478154932786,-7.2315746494259,4.77425539295599e-13,8.40985087469198e-10
"Rgs4",1315.89357698344,-0.490667519147362,0.068837617319043,-7.12789806296252,1.01913204622538e-12,1.63200099947818e-09
"Ctss",311.706342516224,0.884963170735563,0.124955295731973,7.08223821608805,1.41844548002667e-12,2.08215976088914e-09
"Marcksl1",169.230511132082,-0.843529711660112,0.119315442096994,-7.0697446770921,1.55219021607917e-12,2.10321774278727e-09
"Klhl2",590.955275949074,-0.348794219250854,0.0505186375436567,-6.90426813172536,5.04629066718913e-12,5.9260273401691e-09
"Zfp365",2262.06245638376,-0.505437926320511,0.0731367528086273,-6.91086091343242,4.81721189769174e-12,5.9260273401691e-09
"Tmem88b",559.867536495055,-0.35522689111505,0.0518238692161854,-6.85450346505789,7.15606369748803e-12,7.87837887695323e-09
"Mal",1997.30789967807,-0.864401554981901,0.129155273069344,-6.69273142659687,2.1904294112006e-11,2.2696714163705e-08
"Sem1",79.5412220354037,-1.12923679275479,0.170415512369853,-6.62637325118624,3.44034609371671e-11,3.36676091337888e-08
"Baiap2l1",24.3553967884928,2.53770095396754,0.384039718258291,6.60791275828605,3.89776256628369e-11,3.61363618974143e-08
"Fshb",12.9878186859499,1.99448910955287,0.310583789057411,6.42174247279916,1.34723203668532e-10,1.13007106315295e-07
"Prl",571.370785831455,1.51807413580039,0.236310288963231,6.4240712601244,1.32677043509492e-10,1.13007106315295e-07
"9630013A20Rik",18.6603235139874,-3.27010903591453,0.514570863438661,-6.35502176330343,2.0839711447113e-10,1.66859780518589e-07
"Zfp423",134.767295459849,0.608670690730907,0.0961556814521286,6.33005436120731,2.45074840902899e-10,1.87695361848025e-07
"Tuba1a",3324.65342315881,-0.455023253830206,0.0720472071793315,-6.31562654049331,2.6906911412886e-10,1.96517853946188e-07
"Cldn11",731.302313492135,-0.981929184324442,0.15565945600291,-6.30818846177958,2.82320318494392e-10,1.96517853946188e-07
"Cd74",42.2263312016014,1.04477091652797,0.165731465874961,6.30399852564036,2.90063253057105e-10,1.96517853946188e-07
"Fkbp1b",65.3893098072611,-0.528294438033979,0.0846152723707692,-6.24348800437687,4.27919142185799e-10,2.79177618133439e-07
"Trp53inp2",1420.19297059717,-0.393011955644359,0.0634411068206749,-6.19491013539947,5.8318293649611e-10,3.66884550942106e-07
"C1qb",264.134571003312,0.73837354727223,0.119597202189879,6.17383629175493,6.66525568817059e-10,4.04856823955603e-07
"Gjc3",594.630261365829,-0.609544222818698,0.0990384975576755,-6.15461904057791,7.52581782438877e-10,4.41890936588694e-07
"Gh",3486.85887464998,1.82599995302344,0.298036904394091,6.12675788166467,8.96877905763492e-10,5.09629171291094e-07
"G3bp1",157.439710185657,-0.38778052704788,0.0638364311930439,-6.07459596034146,1.24300287774789e-09,6.84234240360285e-07
"Fnbp1l",594.168041896467,-0.48229151544477,0.0794753499520444,-6.068441544904,1.29157408358882e-09,6.89426590376274e-07
