"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"PCNA",1893.82,2786.27188888889,17.0137567353897,9.32038041493203e-21,8.43867242767946e-17,-2.39908402480244,"Upregulated"
"TNFRSF10B",889.200666666666,1160.89,14.723270248096,1.94864592777177e-18,8.82152011502282e-15,-2.49788461712971,"Upregulated"
"CDKN1A",4693.12533333333,3857.88577777778,13.7321739210738,2.35135540863862e-17,7.09639062327137e-14,-2.55271266777541,"Upregulated"
"DDB2",962.924666666666,1290.64066666667,13.434849999566,5.07680421517321e-17,1.14913463410446e-13,-2.5709330748782,"Upregulated"
"CD70",1958.268,2935.39222222222,12.2792181811438,1.12091874571886e-15,2.02975966474771e-12,-2.65084828659282,"Upregulated"
"XPC",416.130333333333,451.345888888889,11.0605221573816,3.52038891134779e-14,5.31226686722382e-11,-2.75379673918788,"Upregulated"
"PLK1",-577.542,600.855111111111,-10.4895500813104,1.89084137739068e-13,2.44566826155646e-10,-2.80997334311519,"Downregulated"
"FDXR",861.317333333334,1286.63577777778,10.4127800374825,2.37799338012694e-13,2.69129400795867e-10,-2.81796012059161,"Upregulated"
"DLGAP5",-352.390666666666,505.162222222222,-10.3409700727274,2.94870747312267e-13,2.96639971796141e-10,-2.82552804972748,"Downregulated"
"TRIAP1",394.821333333334,406.834666666667,10.2142377604005,4.31721837628558e-13,3.90880951788897e-10,-2.83911715252856,"Upregulated"
"TNFSF9",627.828666666667,748.226888888889,9.47531819310666,4.15074283107582e-12,3.41643869023277e-09,-2.92461274596301,"Upregulated"
"PLXNB2",930.143333333333,1133.114,9.37870716902414,5.60800407074706e-12,4.23123907137866e-09,-2.93662638516146,"Upregulated"
"CENPA",-434.294666666667,560.2,-9.14682575663648,1.15997945054383e-11,8.07881072709523e-09,-2.96629705174066,"Downregulated"
"PPM1D",279.654,358.518,8.89581891446582,2.56572966637911e-11,1.65929402852832e-08,-2.99978679253009,"Upregulated"
"CCNB1",-820.844333333333,967.494555555556,-8.63383900623085,5.92028100144084e-11,3.57348161246969e-08,-3.03632028547797,"Downregulated"
"BUB1",-173.186666666667,266.054888888889,-8.52449174238809,8.41143553947385e-11,4.75982108589977e-08,-3.05206077016759,"Downregulated"
"EI24",454.096666666667,723.958444444444,8.18502665516715,2.52239936163129e-10,1.34340022471822e-07,-3.10283263159184,"Upregulated"
"FAS",339.606333333333,405.926148148148,8.14830116016035,2.84256711473886e-10,1.42981125871365e-07,-3.10850190919477,"Upregulated"
"TPX2",-564.469333333333,929.608222222222,-8.09218159290611,3.41288158268432e-10,1.62632788682231e-07,-3.11723274971997,"Downregulated"
"KIF14",-241.028,362.468222222222,-8.04436083629377,3.98923853545524e-10,1.80592828500059e-07,-3.12473744901266,"Downregulated"
"IER2",-492.052,1141.00555555556,-7.85255249035966,7.47506425708768e-10,3.22282056112723e-07,-3.15544591161703,"Downregulated"
"MRPL49",366.786666666667,739.297555555556,7.81413691405596,8.48017457718125e-10,3.48997730099087e-07,-3.16171423021856,"Upregulated"
"LBR",-403.902,1186.35733333333,-7.69495257093219,1.2552515469882e-09,4.94132500279615e-07,-3.18141522329705,"Downregulated"
"BUB1B",-276.622,537.268888888889,-7.56561787442453,1.92362167290414e-09,7.25686276103086e-07,-3.20323173563328,"Downregulated"
"ZBED1",536.208666666666,1787.93133333333,7.52382794559108,2.20871397970657e-09,7.99907854890531e-07,-3.21037916483592,"Upregulated"
"CDC20",-1233.31133333333,1200.96355555556,-7.48804927897121,2.48639319730669e-09,8.6583861570826e-07,-3.21653679350181,"Downregulated"
"CCNG1",437.52,864.913333333333,7.35427171481184,3.87448776223514e-09,1.29924489626952e-06,-3.2398751835275,"Upregulated"
"PTP4A1",277.504333333333,589.001777777778,7.31227019226975,4.45456331855269e-09,1.44041486736343e-06,-3.24730559702865,"Upregulated"
"TP53TG1",112.637333333333,174.112,7.293433744927,4.74235681473834e-09,1.48059650347038e-06,-3.25065396734108,"Upregulated"
"CENPE",-130.843333333333,131.539333333333,-7.2522788515144,5.43790689232539e-09,1.6411603001038e-06,-3.25800431303738,"Downregulated"
"UBE2C",-1083.48266666667,1869.176,-7.11812206863898,8.50134370060036e-09,2.48294083436244e-06,-3.28229614025552,"Downregulated"
"RAB1A",291.242166666666,1465.74316666667,7.10008230302224,9.02848830849341e-09,2.55449791078435e-06,-3.2856013870626,"Upregulated"
"HMMR",-475.714666666667,678.954444444444,-6.84006311390949,2.15261308346119e-08,5.90598753262352e-06,-3.334268412527,"Downregulated"
"KIF23",-137.604666666667,153.838,-6.81214171429244,2.36352877290676e-08,6.29393809114641e-06,-3.33960878572893,"Downregulated"
"GADD45A",965.772,911.465555555556,6.62920743490946,4.36320425846726e-08,1.12149495461239e-05,-3.37514737706088,"Upregulated"
"CCP110",105.468,225.365777777778,6.62271702777165,4.45922447161984e-08,1.12149495461239e-05,-3.37642578235105,"Upregulated"
"AURKA",-439.173,499.075333333333,-6.58961708351246,4.98286019388286e-08,1.21931935663285e-05,-3.38296407662232,"Downregulated"
"SAC3D1",168.015333333333,302.689777777778,6.53383376463738,6.00849558677813e-08,1.43160313270235e-05,-3.39405357235333,"Upregulated"
"SLC7A6",171.212,388.093777777778,6.46827047206431,7.48746472316807e-08,1.73824373342471e-05,-3.40720025402711,"Upregulated"
"GTF2E2",-201.298666666667,572.176222222222,-6.42599870710061,8.62911870029067e-08,1.91918588090155e-05,-3.41574113519235,"Downregulated"
"MKI67",-196.809666666667,451.693222222222,-6.42387678505462,8.69081302374237e-08,1.91918588090155e-05,-3.41617119569519,"Downregulated"
"CKAP5",-180.251333333333,487.769777777778,-6.32039615633218,1.23016400111848e-07,2.6285253360877e-05,-3.43729831557483,"Downregulated"
"ARHGAP19",-74.2819999999999,185.426444444444,-6.31602342249013,1.24836082893496e-07,2.6285253360877e-05,-3.43819771421103,"Downregulated"
"GAK",141.158666666667,514.49,6.30712133702072,1.28624241801531e-07,2.64673610288877e-05,-3.44003038460111,"Upregulated"
"PRKAB1",85.92,112.048444444444,6.28310815683339,1.39425920053157e-07,2.80524951146951e-05,-3.44498506195493,"Upregulated"
"CKS2",-1039.372,2077.37022222222,-6.19086506761837,1.90048669130129e-07,3.7406535876178e-05,-3.46416768756037,"Downregulated"
"MYC",-223.368833333333,458.525444444444,-6.17361040173262,2.01384242811249e-07,3.83374506425351e-05,-3.46778224240248,"Downregulated"
"CCNB2",-442.208,831.911333333333,-6.17086824491905,2.03246921895481e-07,3.83374506425351e-05,-3.46835743822523,"Downregulated"
