"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"PCNA",1893.82,2786.27188888889,17.0137567353897,9.32038041493203e-21,8.43867242767946e-17,-2.39908402480244,"Upregulated"
"TNFRSF10B",889.200666666666,1160.89,14.723270248096,1.94864592777177e-18,8.82152011502282e-15,-2.49788461712971,"Upregulated"
"CDKN1A",4693.12533333333,3857.88577777778,13.7321739210738,2.35135540863862e-17,7.09639062327137e-14,-2.55271266777541,"Upregulated"
"DDB2",962.924666666666,1290.64066666667,13.434849999566,5.07680421517321e-17,1.14913463410446e-13,-2.5709330748782,"Upregulated"
"CD70",1958.268,2935.39222222222,12.2792181811438,1.12091874571886e-15,2.02975966474771e-12,-2.65084828659282,"Upregulated"
"XPC",416.130333333333,451.345888888889,11.0605221573816,3.52038891134779e-14,5.31226686722382e-11,-2.75379673918788,"Upregulated"
"FDXR",861.317333333334,1286.63577777778,10.4127800374825,2.37799338012694e-13,2.69129400795867e-10,-2.81796012059161,"Upregulated"
"TRIAP1",394.821333333334,406.834666666667,10.2142377604005,4.31721837628558e-13,3.90880951788897e-10,-2.83911715252856,"Upregulated"
"TNFSF9",627.828666666667,748.226888888889,9.47531819310666,4.15074283107582e-12,3.41643869023277e-09,-2.92461274596301,"Upregulated"
"PLXNB2",930.143333333333,1133.114,9.37870716902414,5.60800407074706e-12,4.23123907137866e-09,-2.93662638516146,"Upregulated"
"PPM1D",279.654,358.518,8.89581891446582,2.56572966637911e-11,1.65929402852832e-08,-2.99978679253009,"Upregulated"
"EI24",454.096666666667,723.958444444444,8.18502665516715,2.52239936163129e-10,1.34340022471822e-07,-3.10283263159184,"Upregulated"
"FAS",339.606333333333,405.926148148148,8.14830116016035,2.84256711473886e-10,1.42981125871365e-07,-3.10850190919477,"Upregulated"
"MRPL49",366.786666666667,739.297555555556,7.81413691405596,8.48017457718125e-10,3.48997730099087e-07,-3.16171423021856,"Upregulated"
"ZBED1",536.208666666666,1787.93133333333,7.52382794559108,2.20871397970657e-09,7.99907854890531e-07,-3.21037916483592,"Upregulated"
"CCNG1",437.52,864.913333333333,7.35427171481184,3.87448776223514e-09,1.29924489626952e-06,-3.2398751835275,"Upregulated"
"PTP4A1",277.504333333333,589.001777777778,7.31227019226975,4.45456331855269e-09,1.44041486736343e-06,-3.24730559702865,"Upregulated"
"TP53TG1",112.637333333333,174.112,7.293433744927,4.74235681473834e-09,1.48059650347038e-06,-3.25065396734108,"Upregulated"
"RAB1A",291.242166666666,1465.74316666667,7.10008230302224,9.02848830849341e-09,2.55449791078435e-06,-3.2856013870626,"Upregulated"
"GADD45A",965.772,911.465555555556,6.62920743490946,4.36320425846726e-08,1.12149495461239e-05,-3.37514737706088,"Upregulated"
"CCP110",105.468,225.365777777778,6.62271702777165,4.45922447161984e-08,1.12149495461239e-05,-3.37642578235105,"Upregulated"
"SAC3D1",168.015333333333,302.689777777778,6.53383376463738,6.00849558677813e-08,1.43160313270235e-05,-3.39405357235333,"Upregulated"
"SLC7A6",171.212,388.093777777778,6.46827047206431,7.48746472316807e-08,1.73824373342471e-05,-3.40720025402711,"Upregulated"
"GAK",141.158666666667,514.49,6.30712133702072,1.28624241801531e-07,2.64673610288877e-05,-3.44003038460111,"Upregulated"
"PRKAB1",85.92,112.048444444444,6.28310815683339,1.39425920053157e-07,2.80524951146951e-05,-3.44498506195493,"Upregulated"
"RELB",154.873333333333,358.702444444444,6.12625543233837,2.3608667212168e-07,4.27505745877937e-05,-3.47774470504613,"Upregulated"
"TYMS",612.708333333334,1954.16388888889,6.000187897007,3.60421609898611e-07,6.27549472311927e-05,-3.50456756384487,"Upregulated"
"HRAS",160.771333333333,265.383777777778,5.95205830330446,4.23563326345978e-07,7.10174510506757e-05,-3.51492226702991,"Upregulated"
"RNF19B",160.488,192.113777777778,5.91148883164617,4.85278966215834e-07,7.98857410930575e-05,-3.52369907243999,"Upregulated"
"BTG2",524.572,1954.63266666667,5.8916741123854,5.18603520211683e-07,8.38470762856531e-05,-3.52800186257393,"Upregulated"
"PRKX",102.306,158.304666666667,5.8316295665675,6.34168686307785e-07,0.0001007326892251,-3.54110458905943,"Upregulated"
"GCH1",255.264,542.900222222222,5.80468884011773,6.94042373523725e-07,0.000108342407756617,-3.5470145813338,"Upregulated"
"PVT1",85.3166666666666,117.54,5.72946733866032,8.92712017642207e-07,0.000134710243462209,-3.56361680415627,"Upregulated"
"DGKZ",184.932666666667,566.728,5.66969293023381,1.09018594151854e-06,0.000156675293881093,-3.57691442913408,"Upregulated"
"BAX",362.628533333334,775.879511111111,5.58455385549425,1.4486624941787e-06,0.000201787541881446,-3.59601229610203,"Upregulated"
"PI4KB",71.5223333333333,195.590777777778,5.57629690372889,1.48912432762993e-06,0.000204280782763052,-3.59787416773181,"Upregulated"
"TRAF4",410.608666666666,1266.68733333333,5.56397564050056,1.55160088193056e-06,0.000209674543059691,-3.60065567442467,"Upregulated"
"ASCC3",58.3406666666666,83.7862222222222,5.54257600666706,1.66636418916499e-06,0.000221871490716174,-3.60549559102482,"Upregulated"
"APOBEC3G",303.613,898.037555555556,5.48207745696123,2.03847674914128e-06,0.000264163955673517,-3.61923956231012,"Upregulated"
"RAD51C",112.178,293.007888888889,5.48150665481314,2.04235441762163e-06,0.000264163955673517,-3.61936966288754,"Upregulated"
"BBC3",151.980666666667,182.312444444444,5.46924964200624,2.12741130235674e-06,0.000271289886359689,-3.62216526319331,"Upregulated"
"SARS1",333.508,1303.08111111111,5.44815239874221,2.28213165825409e-06,0.000286978056025452,-3.62698567622279,"Upregulated"
"CSTF3",184.868,588.085111111111,5.38944492716076,2.7739706598274e-06,0.000344048361014757,-3.64045563401104,"Upregulated"
"MGRN1",239.393333333333,942.890666666667,5.35660657699872,3.09355965117883e-06,0.000368540645812804,-3.64802570894957,"Upregulated"
"SLC35D1",189.335333333333,353.582666666667,5.32981481240606,3.38115045135355e-06,0.00039247354085327,-3.6542205380654,"Upregulated"
"GDF15",368.516,315.127777777778,5.28633660644501,3.90529314927472e-06,0.000444078605707717,-3.6643088326328,"Upregulated"
"ATF3",98.3133333333333,108.959777777778,5.26782035383443,4.15226263323361e-06,0.000464130689892557,-3.66861825336112,"Upregulated"
"MLF2",274.255333333334,1006.57422222222,5.24597413572704,4.46361096510534e-06,0.000481113496167426,-3.6737126113445,"Upregulated"
"RRAD",212.008,100.276888888889,5.05855191634939,8.28251724514416e-06,0.000861953001580865,-3.71784505176896,"Upregulated"
